OFFICE,STAFF ROOM A,STAFF ROOM B ,STAFF ROOM C,STAFF ROOM D
111,112,113,114,115,116,VA ROOM,MUSIC ROOM,HALL
211,212,213,214,215,216,AI LAB,HE ROOM
311,312,313,314,315,316,LIBRARY,GEOG ROOM
411,412,413,414,415,416,PHY LAB,BIO LAB
511,512,513,514,515,516,MINI HALL,IS LAB,CHEM LAB
